indicator,subindicator,parameter,unit,code,source,memberStateCode,memberStateName,year,value,flag
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,BE,Belgium,2021,22820778.56,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,BG,Bulgaria,2021,18982436.15,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,HR,Croatia,2021,37871875.76,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,CY,Cyprus,2021,3676240.47,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,CZ,Czechia,2021,61501850.68,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,DK,Denmark,2021,38851209.01,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,EE,Estonia,2021,20894463.11,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,EU-27,European Union 27 (excluding UK),2021,2253785039.7,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,EU-28,European Union 28,2021,2269329830.61,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,FI,Finland,2021,64724348.68,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,FR,France,2021,204228016.87,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,DE,Germany,2021,392894840.68,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,EL,Greece,2021,79018851.38,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,HU,Hungary,2021,34087199.99,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,IE,Ireland,2021,9438522.21,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,IT,Italy,2021,467438503.24,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,LV,Latvia,2021,31382777.23,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,LT,Lithuania,2021,45514176.96,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,LU,Luxembourg,2021,2085445.96,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,MT,Malta,2021,3796.46,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,PL,Poland,2021,104329577.74,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,PT,Portugal,2021,94779129.86,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,RO,Romania,2021,91517910.55,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,SK,Slovakia,2021,27920141.35,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,SI,Slovenia,2021,10764030.04,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,ES,Spain,2021,196848069.82,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,SE,Sweden,2021,65739114.69,
OIR_01 Total public expenditure,total public expenditure under measure 11,total (EU funds + National cofinancing),euro,OIR_01a_2.11,DOE,UK,United Kingdom,2021,15544790.91,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,AT,Austria,2021,552805.7,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,BE,Belgium,2021,92260.28,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,BG,Bulgaria,2021,49556.4,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,HR,Croatia,2021,113834.5,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,CY,Cyprus,2021,6864.19,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,CZ,Czechia,2021,539196.43,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,DK,Denmark,2021,257078.02,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,EE,Estonia,2021,201593.87,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,EU-27,European Union 27 (excluding UK),2021,11023648.19,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,EU-28,European Union 28,2021,11257108.85,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,FI,Finland,2021,302766.22,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,FR,France,2021,1263440.77,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,DE,Germany,2021,1548832.04,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,EL,Greece,2021,210234.97,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,HU,Hungary,2021,190500.46,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,IE,Ireland,2021,61268.95,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,IT,Italy,2021,1550993.23,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,LV,Latvia,2021,292300.21,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,LT,Lithuania,2021,231525.31,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,LU,Luxembourg,2021,6000.1,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,MT,Malta,2021,6.67,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,PL,Poland,2021,432805.17,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,PT,Portugal,2021,609099.06,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,RO,Romania,2021,469104.84,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,SK,Slovakia,2021,234974.05,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,SI,Slovenia,2021,49282.35,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,ES,Spain,2021,1361563.67,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,SE,Sweden,2021,395760.73,
OIR_06 Physical area supported (ha),Physical area supported for  organic farming (M11),physical area supported for M11 (AEC),supported hectare,OIR_06_1.2,CATS,UK,United Kingdom,2021,233460.67,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,AT,Austria,2020,679992.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,BE,Belgium,2020,99072.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,BG,Bulgaria,2020,116253.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,HR,Croatia,2020,108610.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,CY,Cyprus,2020,5918.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,CZ,Czechia,2020,540375.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,DK,Denmark,2020,299998.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,EE,Estonia,2020,220796.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,EU-27,European Union 27 (excluding UK),2020,14724279.0,e
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,FI,Finland,2020,316248.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,FR,France,2020,2517478.0,e
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,DE,Germany,2020,1590962.0,e
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,EL,Greece,2020,534629.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,HU,Hungary,2020,301430.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,IE,Ireland,2020,74666.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,IT,Italy,2020,2094592.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,LV,Latvia,2020,291150.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,LT,Lithuania,2020,235471.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,LU,Luxembourg,2020,6118.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,MT,Malta,2020,67.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,NL,Netherlands,2020,71607.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,PL,Poland,2020,509286.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,PT,Portugal,2020,319540.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,RO,Romania,2020,468887.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,SK,Slovakia,2020,222896.0,e
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,SI,Slovenia,2020,49803.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,ES,Spain,2020,2437891.0,
C.19 Agricultural area under organic farming,Agricultural area under organic farming,total (certified plus in conversion),ha UAA,CTX_SEC_19_1c,Eurostat: org_cropar,SE,Sweden,2020,610543.0,
C.19 Agricultural area under organic farming,Share of area under organic farming,share (certified plus in conversion),% total UAA,CTX_SEC_19_2,Eurostat: org_cropar and apro_cpsh1,AT,Austria,2020,25.69,
